Date,City,Temperature,Humidity,Wind Speed,Rainfall
01-01-2023,Chicago,22.16612939,61.93649512,6.263552806,0
02-01-2023,New York,13.282696,61.28813196,4.748310172,0
03-01-2023,Phoenix,28.87010626,55.40084472,12.64672909,15
04-01-2023,New York,22.26673646,60.02155301,13.44988026,5
05-01-2023,Phoenix,20.23444537,58.4705386,11.73290433,10
06-01-2023,Phoenix,31.33665579,73.22960859,11.01397983,5
07-01-2023,New York,18.66241253,61.94813576,14.20550827,0
08-01-2023,Los Angeles,23.99358303,50.35632259,10.77529813,5
09-01-2023,Los Angeles,30.96758045,56.74813679,10.15340778,10
10-01-2023,New York,21.16968311,63.8023539,7.413056756,0
11-01-2023,New York,17.47367936,54.14980316,10.6378941,0
12-01-2023,Los Angeles,31.28041864,66.68288781,8.198707807,5
13-01-2023,New York,31.49099213,48.43482241,11.85321268,5
14-01-2023,New York,22.9429183,65.73014922,12.1272316,0
15-01-2023,Chicago,28.81768593,52.15219303,7.945732342,0
16-01-2023,Los Angeles,22.14476553,61.6742805,9.569584768,0
17-01-2023,Chicago,19.58080531,66.22513833,7.819780214,0
18-01-2023,Houston,20.42699742,71.28984033,8.076823151,0
19-01-2023,Chicago,22.39566383,59.96197464,10.26472018,0
20-01-2023,Houston,30.97874705,68.88669585,11.70398678,0
21-01-2023,Phoenix,22.99196807,79.43967606,11.66651057,0
22-01-2023,Chicago,23.28418281,47.90882188,8.893333928,15
23-01-2023,Los Angeles,22.29157289,42.3759444,11.10695653,0
24-01-2023,Phoenix,33.70923966,70.14491564,8.403910481,0
25-01-2023,Los Angeles,20.45263384,64.33965769,13.32460713,0
26-01-2023,Los Angeles,26.8868858,53.9056011,12.14804063,0
27-01-2023,Los Angeles,28.9989146,57.68692733,7.551213999,0
28-01-2023,Los Angeles,23.83083566,59.76118832,7.540752248,0
29-01-2023,Los Angeles,22.3108516,57.40437345,11.56105259,0
30-01-2023,Phoenix,29.71815207,60.62576201,7.518342171,0
31-01-2023,Los Angeles,29.23810086,52.3334236,7.29377152,0
01-02-2023,Chicago,23.83856385,69.0585185,11.60263912,0
02-02-2023,New York,17.7828954,45.16463353,11.01940894,0
03-02-2023,Los Angeles,24.79412329,64.67551341,10.30361955,0
04-02-2023,Houston,20.67164606,53.81873635,10.05554395,0
05-02-2023,Houston,29.70106907,41.93709129,11.87266735,0
06-02-2023,Los Angeles,26.94574399,51.77333152,12.10017436,0
07-02-2023,Houston,20.13517574,66.36530336,12.9723012,15
08-02-2023,Los Angeles,23.23674509,58.51768492,8.009956734,5
09-02-2023,New York,26.7540009,64.90769239,13.94509186,0
10-02-2023,Phoenix,30.68764544,80.63395176,8.394657041,15
11-02-2023,Chicago,25.46355698,63.22294622,12.06660475,15
12-02-2023,Houston,34.39951107,56.87223319,7.767000734,15
13-02-2023,Los Angeles,24.24093173,52.60866718,9.500639626,0
